sample                        	phased_count	ground_truth_count
2938_J-Garcia                 	       46540	       46540
AZ-ALT-2021-006               	       52476	       52476
AZ-ALT-2021-007               	       56307	       56307
AZ-ALT-2021-008               	       54409	       54409
AZ-ALT-2021-009               	       48168	       48168
AZ-ALT-2021-010               	       53346	       53346
AZ-ALT-2021-011               	       52112	       52112
AZ-ALT-2021-012               	       52408	       52408
AZ-ALT-2021-013               	       53281	       53281
AZ-QKH-2021-001               	       54892	       54892
AZ-QKH-2021-002               	       54529	       54529
AZ-QKH-2021-003               	       53312	       53312
AZ-QKH-2021-004               	       57067	       57067
AZ-QKH-2021-005               	       57427	       57427
AZ-QOB-2021-015               	       56126	       56126
AZ-QOB-2021-016               	       54556	       54556
BA-TRE-2019-001               	       53919	       53919
BA-TRE-2019-002               	       46412	       46412
BA-TRE-2019-007               	       53840	       53840
BA-TRE-2019-008               	       53784	       53784
BA-TRE-2019-009               	       54580	       54580
BA-TRE-2019-010               	       52092	       52092
BU-BAL-2021-001               	       47865	       47865
BU-BAL-2021-002               	       52667	       52667
BU-BAL-2021-003               	       45940	       45940
BU-BAL-2021-004               	       46797	       46797
BU-DEV-2019-022               	       57147	       57147
BU-DEV-2019-023               	       41563	       41563
BU-KAL-2019-001               	       45393	       45393
BU-KAL-2019-002               	       41387	       41387
BU-KAL-2019-003               	       50487	       50487
BU-KAL-2019-004               	       43852	       43852
BU-KAL-2019-005               	       50392	       50392
BU-KAL-2019-006               	       46697	       46697
BU-KAL-2019-007               	       49482	       49482
BU-KAL-2019-008               	       47023	       47023
BU-KAL-2019-009               	       45874	       45874
BU-KAL-2019-010               	       43144	       43144
BU-KAL-2019-011               	       42587	       42587
BU-KAL-2019-012               	       45590	       45590
BU-KAL-2019-013               	       41518	       41518
BU-KAL-2019-014               	       46627	       46627
BU-KAL-2019-015               	       41831	       41831
BU-KAL-2019-016               	       46207	       46207
BU-KAL-2019-017               	       46814	       46814
BU-KAL-2019-018               	       50854	       50854
BU-KAL-2019-019               	       45288	       45288
BU-KAL-2019-020               	       46464	       46464
BU-KAL-2019-021               	       33186	       33186
BU-KRO-2019-024               	       55267	       55267
BU-KRO-2019-025               	       55992	       55992
BU-KRO-2019-026               	       54810	       54810
BU-KRO-2019-027               	       47785	       47785
BU-MAD-2019-028               	       57074	       57074
BU-MAD-2019-029               	       50082	       50082
BU-MRA-2021-001               	       58095	       58095
CN-GAN-2009-001               	       35954	       35954
CN-GAN-2009-002               	       41155	       41155
CN-GAN-2009-003               	       29700	       29700
CN-XIN-2002-002               	       41164	       41164
CN-XIN-2002-003               	       32510	       32510
CN-XIN-2002-004               	       36129	       36129
CN-XS-2018-001                	       42342	       42342
CN-XS-2018-002                	       47096	       47096
CN-XS-2018-004                	       45919	       45919
CN-XS-2018-006                	       45142	       45142
CN-XS-2018-007                	       48425	       48425
CN-XS-2018-009                	       48312	       48312
CN-XS-2018-010                	       45768	       45768
CN-XS-2018-012                	       45687	       45687
CN-XS-2018-014                	       47835	       47835
CY-PAF-2017-003               	       25209	       25209
CY-PAF-2018-004               	       28970	       28970
CY-PRO-2016-001               	       26659	       26659
CY-PRO-2016-002               	       28483	       28483
E-BIO-2017-001                	       50702	       50702
E-GUI-2017-001                	       47977	       47977
E-GUI-2017-003                	       52491	       52491
E-GUI-2017-007                	       47509	       47509
E-GUI-2017-013                	       51299	       51299
E-GUI-2017-015                	       49122	       49122
E-GUI-2017-018                	       49043	       49043
E-Oenhishis_black             	       55388	       55388
E-Oenhishis_white             	       54936	       54936
FR-EYG-2019-001               	       49886	       49886
FR-MAU-2019-002               	       32211	       32211
FR-MAU-2019-003               	       51475	       51475
GEO-CHA-2017-003              	       57475	       57475
GEO-CHA-2017-007              	       55194	       55194
GEO-CHA-2017-009              	       53955	       53955
GEO-CHA-2017-014              	       52371	       52371
GEO-CHA-2018-011              	       52930	       52930
GEO-CHA-2018-013              	       44061	       44061
GEO-CHA-2018-016              	       52451	       52451
GEO-CHA-2018-017              	       52218	       52218
GEO-CHA-2018-020              	       50576	       50576
GEO-CHA-2018-021              	       52920	       52920
GEO-DGJ-2017-005              	       42928	       42928
GEO-DGJ-2017-009              	       55943	       55943
GEO-DGJ-2018-023              	       54720	       54720
GEO-DGJ-2018-025              	       55351	       55351
GEO-DGJ-2018-029              	       51948	       51948
GEO-DGJ-2018-032              	       53815	       53815
GEO-DGJ-2018-033              	       56249	       56249
GEO-DGJ-2018-036              	       52275	       52275
GEO-DGJ-2018-038              	       56066	       56066
GEO-VAR-2018-001              	       47272	       47272
GEO-VAR-2018-002              	       54752	       54752
GEO-VAR-2018-008              	       49948	       49948
GEO-VAR-2018-012              	       56025	       56025
GEO-VAR-2018-013              	       54726	       54726
GEO-VAR-2018-015              	       54277	       54277
GEO-VAR-2018-017              	       57378	       57378
GEO-VAR-2018-018              	       55458	       55458
GEO-VVI-2018-001              	       56269	       56269
GEO-VVI-2018-002              	       55596	       55596
GEO-VVI-2018-003              	       51038	       51038
GEO-VVI-2018-004              	       44395	       44395
GEO-VVI-2018-007              	       51469	       51469
GEO-VVI-2018-010              	       54851	       54851
GEO-VVI-2018-011              	       55032	       55032
GR-ATT-2019-007               	       54943	       54943
GR-ATT-2019-009               	       52418	       52418
GR-BAN-2022-022               	       56323	       56323
GR-BAN-2022-023               	       55918	       55918
GR-CRE-2017-001               	       53726	       53726
GR-CRE-2017-002               	       54752	       54752
GR-DAD-2018-001               	       59375	       59375
GR-DIS-2019-017               	       49807	       49807
GR-DIS-2019-020               	       57614	       57614
GR-EVV-2019-001               	       55183	       55183
GR-EVV-2019-005               	       58214	       58214
GR-GAL-2019-014-REF           	       63170	       63170
GR-GAL-2019-015               	       51757	       51757
GR-LES-2017-002               	       57525	       57525
GR-LES-2017-004               	       53694	       53694
GR-LES-2017-005               	       53774	       53774
GR-LES-2017-006               	       59731	       59731
GR-LES-2017-007               	       53754	       53754
GR-LES-2017-008               	       59553	       59553
GR-Oenhismel_white            	       57287	       57287
GR-SAT-2019-023               	       54031	       54031
IR-ARD-2018-001               	       57627	       57627
IR-ARD-2018-002               	       51439	       51439
IR-ARD-2018-003               	       54322	       54322
IR-ARD-2018-005               	       59436	       59436
IR-ARD-2018-006               	       57292	       57292
IR-ASH-2017-001               	       51651	       51651
IR-ASH-2017-002               	       51405	       51405
IR-ASH-2017-006               	       55032	       55032
IR-BAL-2017-001               	       50728	       50728
IR-BAL-2017-002               	       54198	       54198
IR-BAL-2017-003               	       46275	       46275
IR-BAL-2017-004               	       52261	       52261
IR-BAL-2017-005               	       55749	       55749
IR-BAL-2017-006               	       48777	       48777
IR-BAL-2017-008               	       52125	       52125
IR-BAL-2017-009               	       56377	       56377
IR-BAL-2017-010               	       57312	       57312
IR-BAL-2017-011               	       58098	       58098
IR-BAL-2017-013               	       57943	       57943
IR-BAL-2017-014               	       53868	       53868
IR-DAM-2017-001               	       54771	       54771
IR-DAM-2017-002               	       54835	       54835
IR-ESF-2017-001               	       48574	       48574
IR-ESF-2017-002               	       47517	       47517
IR-FIR-2018-001               	       54048	       54048
IR-FIR-2018-003               	       51299	       51299
IR-FIR-2018-004               	       54708	       54708
IR-FIR-2018-005               	       56663	       56663
IR-FIR-2018-006               	       54301	       54301
IR-FIR-2018-007               	       53923	       53923
IR-FIR-2018-009               	       55779	       55779
IR-FIR-2018-010               	       57025	       57025
IR-FIR-2018-011               	       53280	       53280
IR-FIR-2018-013               	       50906	       50906
IR-FIR-2018-014               	       53541	       53541
IR-FIR-2018-015               	       54181	       54181
IR-HAS-2018-002               	       57270	       57270
IR-HAS-2018-004               	       57007	       57007
IR-HAS-2018-005               	       59293	       59293
IR-HAS-2018-007               	       59647	       59647
IR-HAS-2018-009               	       54852	       54852
IR-KIL-2018-001               	       54138	       54138
IR-KIL-2018-003               	       57795	       57795
IR-KIL-2018-005               	       53276	       53276
IR-KIL-2018-006               	       56132	       56132
IR-KIL-2018-008               	       53344	       53344
IR-KIL-2018-009               	       50840	       50840
IR-KIL-2018-011               	       53945	       53945
IR-KIL-2018-012               	       52208	       52208
IR-KIL-2018-013               	       52845	       52845
IR-KIL-2018-015               	       57165	       57165
IR-KIL-2018-017               	       54091	       54091
IR-KIL-2018-018               	       56716	       56716
IR-KIL-2018-019               	       53260	       53260
IR-KIL-2018-021               	       55745	       55745
IR-QAZ-2018-001               	       55294	       55294
IR-QAZ-2018-002               	       59635	       59635
IR-QAZ-2018-003               	       56881	       56881
IR-QAZ-2018-004               	       56001	       56001
IR-QAZ-2018-006               	       59423	       59423
IR-QAZ-2018-007               	       56737	       56737
IR-QAZ-2018-009               	       59789	       59789
IR-QAZ-2018-010               	       57917	       57917
IR-QAZ-2018-012               	       58765	       58765
IR-QUC-2017-001               	       48254	       48254
IR-QUC-2017-002               	       49181	       49181
IR-QUC-2017-003               	       51587	       51587
IR-QUC-2017-004               	       49220	       49220
IR-QUC-2017-006               	       50008	       50008
IR-SHA-2017-002               	       52665	       52665
IR-SHA-2017-003               	       55852	       55852
IR-SHA-2017-004               	       53112	       53112
IR-SHA-2017-005               	       54089	       54089
IR-SHA-2017-009               	       52371	       52371
IR-SHA-2017-010               	       49456	       49456
IR-SHA-2017-011               	       55214	       55214
IR-SHA-2017-015               	       56192	       56192
IR-SHA-2017-016               	       54169	       54169
IR-SHA-2017-017               	       47053	       47053
IR-SHA-2017-019               	       49379	       49379
IR-TAB-2018-002               	       56883	       56883
IR-TAB-2018-006               	       57263	       57263
IR-TAB-2018-007               	       59736	       59736
IR-TAB-2018-008               	       54633	       54633
IR-TAB-2018-009               	       59444	       59444
IR-TAB-2018-010               	       59174	       59174
IR-TAN-2017-004               	       51766	       51766
IS-GAL-1963-011               	       38505	       38505
IS-GOL-1967-005               	       32044	       32044
IS-GOL-1967-006               	       33729	       33729
IS-HER-1967-007               	       18245	       18245
IS-HER-1969-008               	       29953	       29953
IS-HER-1976-009               	       45071	       45071
IS-HER-1979-010               	       44715	       44715
IS-JUD-1935-001               	       21300	       21300
IS-JUD-1961-002               	       33417	       33417
IS-JUD-1963-004               	       28323	       28323
IS-JUD-1988-003               	       43812	       43812
IS-JUD-2012-005               	       52744	       52744
IS-JUD-2012-006               	       53521	       53521
IS-JUD-2012-007               	       51710	       51710
IT-GRA-2019-001               	       49387	       49387
IT-GRA-2019-002               	       52583	       52583
IT-GRA-2019-003               	       51991	       51991
IT-GRA-2019-006               	       45814	       45814
IT-GRA-2019-007               	       46280	       46280
IT-GRA-2019-009               	       50755	       50755
IT-GRA-2019-010               	       47223	       47223
IT-GRA-2019-012               	       46622	       46622
KZ-ALM-1993-46249             	       48366	       48366
KZ-ALM-1993-46250             	       48340	       48340
KZ-ALM-1993-46253             	       46741	       46741
KZ-ATY-2022-001               	       47368	       47368
KZ-ATY-2022-002               	       48108	       48108
KZ-ATY-2022-003               	       47109	       47109
KZ-ATY-2022-004               	       46990	       46990
KZ-ATY-2022-006               	       47234	       47234
KZ-ATY-2022-007               	       49162	       49162
KZ-ATY-2022-008               	       48924	       48924
KZ-ATY-2022-009               	       48913	       48913
KZ-ATY-2022-010               	       45059	       45059
KZ-IND-2022-001               	       47459	       47459
KZ-IND-2022-002               	       49872	       49872
KZ-IND-2022-003               	       48844	       48844
KZ-IND-2022-004               	       46796	       46796
KZ-MAN-2022-001               	       48233	       48233
KZ-MAN-2022-002               	       49428	       49428
KZ-MAN-2022-003               	       47539	       47539
KZ-MAN-2022-004               	       48310	       48310
KZ-MAN-2022-005               	       49697	       49697
KZ-MAN-2022-006               	       49039	       49039
KZ-MAN-2022-007               	       48950	       48950
KZ-MAN-2022-008               	       48853	       48853
KZ-MAN-2022-009               	       48403	       48403
KZ-MAN-2022-010               	       47818	       47818
KZ-MAN-2022-011               	       48718	       48718
KZ-MAN-2022-012               	       48899	       48899
KZ-MAN-2022-013               	       49315	       49315
KZ-MAN-2022-014               	       48753	       48753
KZ-MAN-2022-015               	       47779	       47779
KZ-MAN-2022-016               	       48655	       48655
KZ-MAN-2022-017               	       47937	       47937
KZ-MAN-2022-018               	       48416	       48416
KZ-MAN-2022-019               	       48057	       48057
KZ-MAN-2022-020               	       49798	       49798
KZ-MAN-2022-021               	       49904	       49904
KZ-MAN-2022-022               	       47968	       47968
MG-DOR-BUR-1998-59741         	       33316	       33316
MG-DOR-BUR-1998-60158         	       44959	       44959
MG-DOR-BUR-1998-60161         	       35479	       35479
MG-KHA-HAR-2018-ORN349921     	       36229	       36229
MG-KHA-HAR-2018-ORN349924     	       37316	       37316
MG-Oenple_black               	       47908	       47908
MN-MUR-2019-004               	       57756	       57756
MN-MUR-2019-010               	       46822	       46822
MN-ULC-2019-011               	       48931	       48931
MN-ULC-2019-014               	       51362	       51362
MN-ULC-2019-015               	       54245	       54245
MN-VIR-2019-002               	       52236	       52236
MO-5289                       	       47951	       47951
MO-5330                       	       44176	       44176
OEN-CYP-20e                   	       28943	       28943
OEN-CYP-A7A8147               	       21373	       21373
Oencyp_black                  	       30027	       30027
OEN-CYP-C6A298021             	       38967	       38967
OEN-CYP-D6A8216               	       21013	       21013
OEN-CYP-E6GG1SG               	       20506	       20506
OEN-CYP-F6A8192               	       20500	       20500
OEN-CYP-G6A50165              	       20803	       20803
OEN-CYP-H6A8294               	       23142	       23142
Oenhismel_black               	       59467	       59467
OENPLE-RU-AST-1907-ROM52877   	       22687	       22687
Oenple_white                  	       47420	       47420
RO-CHE-2017-001               	       38696	       38696
RO-CHE-2017-002               	       35014	       35014
RO-CHE-2019-004               	       44908	       44908
RO-CHE-2019-005               	       43236	       43236
RO-CHE-2019-006               	       40652	       40652
RO-CHE-2019-008               	       53746	       53746
RO-CHE-2019-009               	       39155	       39155
RO-CHE-2022-030               	       51131	       51131
RO-HAR-2021-001               	       42518	       42518
RO-HAR-2021-002               	       45308	       45308
RO-SIT-2019-010               	       33496	       33496
RO-SIT-2019-011               	       42236	       42236
RO-SIT-2019-012               	       42612	       42612
RO-SIT-2019-014               	       37417	       37417
RO-SIT-2019-015               	       37598	       37598
RO-SIT-2021-001               	       49323	       49323
RO-SIT-2021-002               	       47540	       47540
RO-SIT-2021-003               	       47386	       47386
RO-SIT-2021-004               	       43375	       43375
RO-SIT-2021-005               	       49928	       49928
RO-SIT-2021-006               	       44722	       44722
RO-SIT-2021-007               	       45713	       45713
RO-SIT-2021-008               	       48572	       48572
RO-SIT-2021-009               	       41332	       41332
RO-SIT-2021-010               	       50010	       50010
RO-SIT-2021-011               	       41010	       41010
RO-SIT-2021-012               	       46311	       46311
RO-SIT-2021-013               	       48374	       48374
RO-SIT-2021-014               	       49080	       49080
RO-SIT-2021-015               	       48270	       48270
RO-SIT-2021-016               	       43862	       43862
RO-SIT-2021-017               	       39872	       39872
RO-SIT-2021-018               	       51879	       51879
RO-SIT-2021-019               	       48283	       48283
RO-SIT-2021-020               	       43518	       43518
RO-SIT-2021-021               	       46696	       46696
RO-SIT-2021-022               	       47647	       47647
RO-SIT-2021-023               	       45601	       45601
RO-SIT-2021-024               	       50800	       50800
RO-SIT-2021-025               	       55626	       55626
RO-SIT-2022-014               	       47267	       47267
RO-SIT-2022-027               	       50681	       50681
RO-SOM-2019-001               	       53184	       53184
RO-TUR-2019-002               	       46471	       46471
RU-KRA-1999-64601             	       45146	       45146
RU-KRA-1999-64603             	       45870	       45870
RU-KRA-1999-64634             	       39518	       39518
RU-TUV-2000-66349             	       35318	       35318
RU-TUV-2000-66423             	       37620	       37620
RU-TUV-2000-66424             	       38733	       38733
RU-TUV-2000-75722             	       34421	       34421
RU-TUV-2000-75873             	       36598	       36598
TAJ-VAR-2014-001              	       44110	       44110
TAJ-VAR-2014-003              	       32587	       32587
TR-BUR-2021-001               	       58363	       58363
TR-BUR-2021-002               	       58226	       58226
TR-BUR-2021-003               	       55899	       55899
TR-BUR-2021-004               	       59307	       59307
TR-NIG-20XX-001               	       57672	       57672
TR-NIG-20XX-002               	       57063	       57063
TR-NIG-20XX-003               	       57406	       57406
TR-NIG-20XX-004               	       58595	       58595
TR-NIG-20XX-005               	       58016	       58016
